Model,Accuracy,Precision,Recall,F1-Score,CV_Mean,CV_Std,Train_Time,Pred_Time
gradient_boosting,1.0,1.0,1.0,1.0,0.9948051948051948,0.006362311020216049,35.00755047798157,0.007735252380371094
logistic_regression_tuned,0.9948186528497409,0.9956822107081176,0.9948186528497409,0.9949308032209586,0.9934895170189287,0.005827017069990936,0.32184934616088867,0.0005006790161132812
random_forest,0.9948186528497409,0.9956822107081176,0.9948186528497409,0.9949308032209586,0.9921993039640098,0.004857055867514863,0.11239433288574219,0.0171353816986084
gradient_boosting_tuned,0.9948186528497409,0.9956822107081176,0.9948186528497409,0.9949308032209586,0.996103896103896,0.005194805194805191,38.131922245025635,0.005975246429443359
logistic_regression,0.9948186528497409,0.9954663212435233,0.9948186528497409,0.9948679990130768,0.9622952211187507,0.007543971729118802,0.4264225959777832,0.0005414485931396484
random_forest_tuned,0.9948186528497409,0.9951640759930915,0.9948186528497409,0.9947846210129576,0.9921993039640098,0.004857055867514863,0.09616994857788086,0.016472339630126953
svm_linear,0.08290155440414508,0.0077435517850025625,0.08290155440414508,0.014164084672064987,0.03902045666751549,0.010901813372482201,0.1761012077331543,0.005779266357421875
svm_rbf,0.08290155440414508,0.0077435517850025625,0.08290155440414508,0.014164084672064987,0.04291656056361939,0.010565985019866175,0.26366353034973145,0.013180732727050781
knn,0.031088082901554404,0.0048854906843803225,0.031088082901554404,0.008329434326280463,0.02599949070537306,0.01085060539513099,0.0006134510040283203,0.003657817840576172
